"gap_topic_slug","caseNumber","subject","doc_spec","baseline_topScore","baseline_top1_doc","authored","probe_pass"
"pdf-accessibility-wcag-support","00033893","Fwd: S-Docs AppExchange Install","A doc stating whether/how S-Docs generated PDFs support accessibility metadata (document Title, lang attribute, tagged/semantic PDF structure) for WCAG compliance, with any workarounds.","0.536","Installing S-Docs from the AppExchange and Basic Post-Install Setup","",""
"multi-template-dynamic-job-splitter-conflict","00033790","Fwd: FW: Examples for mailmerge over 500","A known-error doc for 'Using two or more templates that contain dynamic job splitters is not supported' explaining the limitation and supported alternatives (separate runs per template, single combined template, batch flow) for large mass merges.","0.583","S-Doc Job Statuses","",""
"assign-generated-document-to-content-library","00033956","Assigning a document to a specific document library","A how-to doc on routing S-Docs generated files into a specific Salesforce content library/workspace (e.g., trigger or flow on the generated ContentDocument, using a template variable to pick the library).","0.307","Security and Permissions","",""
"certificate-renewal-oauth-warning-message","00034042","Message after updating certificate","An addendum to the SDocsCert renewal doc explaining the standard Salesforce 'Deleting a parent org also deletes all connected apps with OAuth settings enabled' warning, that it is benign, and how long changes take to propagate.","0.450","Renewing an Expired S-Docs Self-Signed Certificate (SDocsCert)","",""
"s-sign-offline-signing-support","00033908","e-Sign offline functionality","A capability doc stating whether S-Sign supports offline/disconnected signing (e.g., no connectivity at point of signature) and what alternatives exist (sign-in-person, print-and-sign).","0.151","Launch E-Signature Requests from a Salesforce Record","",""
"s-sign-tracking-pixel-script-injection","00034130","Tracking Pixel?","A capability/limitation doc stating whether custom scripts or tracking pixels can be embedded in the S-Sign online viewing/signing page (answer: not supported for security) and what view-tracking alternatives exist (SDoc events/audit trail).","0.228","Create and Send Signature Requests","",""
"spring-26-pdf-rendering-compatibility","00033910","Question about Salesforce PDF changes for Spring 26","A doc on S-Docs compatibility with the Salesforce Spring 26 PDF rendering changes (default Serif to Sans Serif font switch), including the minimum S-Docs version required and any template adjustments.","0.510","font-weight: boldset in my CSS but the values aren't displaying in bold — how do","",""
"live-edit-session-expiration","00034140","Support Request: Premature Session Expiration Error During PDF Edit","A known-error doc explaining premature 'The page you submitted was invalid for your session' errors during Live Edit of generated PDFs and the session-setting/version fixes.","0.442","S-Docs error: SDCreate3 initialization error: Document limit has been reached","",""
"hubspot-completion-notifications","00033799","Notifications on doc completion","A how-to doc for enabling signed/completed document notifications in S-Docs for HubSpot.","0.339","Configure S-Docs e-Signature and Global Settings","",""
"sdocs-ssign-object-external-access-requirements","00033694","Object default external access","A reference doc enumerating which S-Docs/S-Sign objects require Public Read/Write default external access (guest signer requirements) and which can be restricted.","0.348","SDOC__SDTemplate__c when generating PDF membership certificates — how do I resol","",""
"blob-topdf-release-update-compatibility","00034164","Salesforce Blob PDF Release Update Question","A compatibility statement doc on whether the Salesforce 'Use Visualforce PDF Rendering Service with Apex Blob.toPdf()' release update impacts S-Docs/S-Sign and any minimum versions.","0.494","Launch E-Signature Requests from a Salesforce Record","",""
"ssign-notification-batchable-too-big","00033759","Notification Emails not sending","A known-error doc for 'System.LimitException: Batchable instance is too big: SSign.NotificationEmailSchedulable' from the S-Sign Notifications Job, plus how reminder emails/templates and expiration days are configured.","0.624","I'm seeing an ""Automation not enabled"" error — how do I enable Automation in S-D","",""
"regex-too-complicated-large-related-list","00034002","Fwd: Error on SDocs","A known-error doc explaining the 'Regex too complicated' failure in SDCreate3/createAttachments when a template's related-list query returns thousands of rows (~1,464+ products), what limit it reflects, and mitigations such as job splitters or query filtering.","0.336","S-Docs error: SDCreate3 initialization error: Document limit has been reached","",""
"clone-ssign-template-component-signer-profiles","00033722","Unable to clone S-sign template","A known-error doc for CANNOT_INSERT_UPDATE_ACTIVATE_ENTITY / 'component(s) have at least 1 signer profile that is not defined on the parent template' when cloning an S-Sign-enabled parent template with components, explaining why the clone loses profile definitions and how to redefine them.","0.410","I can no longer preview my S-Sign template — it was working before but now I'm g","",""
"ssign-required-field-missing-version-data","00034176","Ongoing SDocs Template Issue and New S-Sign Error","A known-error doc for [SSException] REQUIRED_FIELD_MISSING [Version Data] in ssign:sscreateenvelope when sending a generated document for signature, explaining the cause (missing document version/file data) and the fix.","0.551","SSign.Envelope.classerror when clicking Generate & Sign on a Bill of Sale in our","",""
"salesforce-vf-pdf-rendering-update-impact","00033897","Is S-docs affected in the upcoming Salesforce Summer 2026 release: Use Visualfor","A doc stating whether/how S-Docs is affected by the Salesforce Summer 2026 Visualforce PDF rendering service update (serif-to-sans-serif default font, Arial Unicode MS, Blob.toPdf changes), including any minimum S-Docs version and template adjustments needed.","0.718","PDF Rendering Considerations","",""
"hubspot-signature-reminders","00033716","sending reminders to sign","A doc explaining how to send or schedule reminder emails for open signature requests in S-Docs for HubSpot (from the HubSpot ticket), or stating that the feature is unavailable there.","0.481","Create and Send Signature Requests","",""
"deleted-signer-profile-locked-inputs","00034071","Re: Help with Editing RA","A known-error doc on recovering a template whose sections/input fields became un-editable after an assigned signer profile was deleted, covering how to reassign the inputs to a valid profile or restore editability.","0.140","How to: Upload a PDF as a Template","",""
"mass-merge-list-of-sobjects-empty","00033815","Error when generating documents - List of SObjects is empty. Error is in express","A known-error doc for 'List of SObjects is empty ... {!printDoc} ... page sdoc:sdjobcontact' when clicking Start Mail Merge / Combine All from a list view, explaining the job-completion timing cause and the refresh/re-run workaround.","0.625","I'm getting an error when generating a document using S-Docs with the AccountPla","",""
