caseNumber,subject,product,topScore,answerability,screenshot_dependent,matched_doc,gap_topic_slug,gap_doc_spec,rationale
00034012,RE: Opportunity Product Page is spinning upon Save,S-Docs,0.2033,not_kb_answerable,true,,,,"Org-specific package-component debugging where the diagnostic details are only in attached Salesforce documents, and the live thread is just call scheduling."
00033893,Fwd: S-Docs AppExchange Install,S-Docs,0.5491,corpus_gap,false,,pdf-accessibility-wcag-support,"A doc stating whether/how S-Docs generated PDFs support accessibility metadata (document Title, lang attribute, tagged/semantic PDF structure) for WCAG compliance, with any workarounds.","Generalizable product-capability question about PDF accessibility (title, lang, semantic tags) that no corpus doc addresses; install docs retrieved instead."
00034121,S-Docs Error Message,S-Docs,0.2501,not_kb_answerable,true,,,,The only actionable content (the error itself) is in an embedded image; text gives no error details to answer against.
00033790,Fwd: FW: Examples for mailmerge over 500,S-Docs,0.7604,corpus_gap,false,,multi-template-dynamic-job-splitter-conflict,"A known-error doc for 'Using two or more templates that contain dynamic job splitters is not supported' explaining the limitation and supported alternatives (separate runs per template, single combined template, batch flow) for large mass merges.","Verified the Job Splitters doc covers placement/CPU errors but not this multi-template splitter error or its workarounds, which are docable and generalizable."
00033986,HM TRADING GMBH: Component Issue,S-Docs,0.2492,retrieval_fn,true,Component (DOCX),,,"Verified doc body states DOCX components are 'only intended for DOCX parent templates' and body-only, which directly explains the null output when used in a DOC-NEW template; retrieval scored it 0.25."
00033987,Debug Logs for Custom Solution Optimization,S-Docs,0.2373,not_kb_answerable,false,,,,"Internal escalation about debugging/optimizing a customer-specific custom solution with complicated replication steps; requires their org data, no general doc could resolve it."
00034158,Re: EQD/S Docs Next Steps - Pricing,S-Docs,0.2046,retrieval_fn,false,How to: Use Bar Codes & QR Codes,,,"Customer asks how to add a QR code image in a template (broken image from URL field); the bar codes/QR codes how-to plus remote-site whitelisting covers exactly this, but retrieval scored 0.20."
00034061,Sandbox user getting error message when trying to edit a generated document,S-Docs,0.2848,retrieval_fn,true,S-Docs permission sets: what each grants and which users need,,,"The textual ask (which permission set lets a user edit generated documents / access the Apex class) is covered by the permission-sets doc, but retrieval scored 0.28; the exact error is only in a screenshot."
00033912,Error at eSignature page,S-Docs,0.2825,not_kb_answerable,true,,,,Generic 'errors on the eSignature page' with the actual error only in an image; nothing in the text is specific enough for any doc to answer.
00033956,Assigning a document to a specific document library,S-Docs,0.6768,corpus_gap,false,,assign-generated-document-to-content-library,"A how-to doc on routing S-Docs generated files into a specific Salesforce content library/workspace (e.g., trigger or flow on the generated ContentDocument, using a template variable to pick the library).",Generalizable how-to question (route generated PDFs to a specific document library); auto-attach docs cover record attachment but nothing in the corpus covers library assignment.
00033748,FW: SoW Template,S-Docs,0.2285,not_kb_answerable,true,,,,"Layout debugging of their specific template (address block overflowing, stretched logo on signed doc) shown only in a screenshot; fixing it requires their template source, not a general doc."
00034042,Message after updating certificate,S-Docs,0.4424,corpus_gap,false,,certificate-renewal-oauth-warning-message,"An addendum to the SDocsCert renewal doc explaining the standard Salesforce 'Deleting a parent org also deletes all connected apps with OAuth settings enabled' warning, that it is benign, and how long changes take to propagate.","Verified the cert-renewal doc gives the renewal steps but never explains this post-update warning message, which is exactly what the customer asks and is fully generalizable."
00033908,e-Sign offline functionality,,0.138,corpus_gap,false,,s-sign-offline-signing-support,"A capability doc stating whether S-Sign supports offline/disconnected signing (e.g., no connectivity at point of signature) and what alternatives exist (sign-in-person, print-and-sign).",Clear generalizable capability question (does e-sign work offline) that no corpus doc addresses; retrieval topped out at 0.14.
00033852,HubSpot Support - Beem Technologies,S-Docs,0.1611,not_kb_answerable,true,,,,Internal AE forwarding a vague org-specific performance symptom (spinner but generation succeeds) on a HubSpot-edition template shown only in an attached screenshot; needs investigation of their setup.
00033921,SDocs Door template issue,S-Docs,0.3865,not_kb_answerable,true,,,,Template errors on a specific Work Order with 19 doors where the error message itself is only in an embedded image; without it no doc can be matched and diagnosis is template/data specific.
00033707,S-Docs version upgrade for Northern College,S-Docs,0.3964,retrieval_fn,false,"I'm seeing an ""Automation not enabled"" error — how do I enable Automation in S-D",,,"Customer wants the Enable Automation flag confirmed/turned on after upgrade; the corpus has a doc on enabling Automation in S-Docs setup, but retrieval scored 0.40, just under the floor."
00033840,Re: Problem with Signature Edits,S-Sign,0.5984,not_kb_answerable,false,,,,"Bug report (mobile-app-only error when editing a form before signing, error text never given) requiring investigation of their org, and the live message is just asking for a support ETA."
00034195,S-Sign with PDF Upload,S-Sign,0.6182,retrieval_fn,false,Configure E-Signature Template,,,"New user asking how to set up S-Sign on an uploaded document; the quick-start on configuring an e-signature PDF template (plus PDF-upload docs) covers this walkthrough, yet the model declined at 0.62."
00034130,Tracking Pixel?,S-Docs,0.2273,corpus_gap,false,,s-sign-tracking-pixel-script-injection,A capability/limitation doc stating whether custom scripts or tracking pixels can be embedded in the S-Sign online viewing/signing page (answer: not supported for security) and what view-tracking alternatives exist (SDoc events/audit trail).,Generalizable capability question about injecting a marketing tracking script into the S-Sign viewer that no corpus doc addresses.
00033910,Question about Salesforce PDF changes for Spring 26,S-Docs,0.5388,corpus_gap,false,,spring-26-pdf-rendering-compatibility,"A doc on S-Docs compatibility with the Salesforce Spring 26 PDF rendering changes (default Serif to Sans Serif font switch), including the minimum S-Docs version required and any template adjustments.",Generalizable release-compatibility question; the fonts doc retrieved (0.54) lists supported fonts but nothing in the corpus covers Spring 26 changes or minimum-version guidance.
00034140,Support Request: Premature Session Expiration Error During PDF Edit,S-Docs,0.4281,corpus_gap,false,,live-edit-session-expiration,A known-error doc explaining premature 'The page you submitted was invalid for your session' errors during Live Edit of generated PDFs and the session-setting/version fixes.,"Full error text and repro are in the email and the issue is a generalizable known error, but no corpus doc (Configure Live Editing / Editing Generated Documents) covers session expiration during Live Edit."
00033774,Re: S-Docs Not Functioning,S-Docs,0.0891,not_kb_answerable,true,,,,"The only actionable content (the actual error) is in an attached screenshot; the text just says invoices/POs are failing, which is undiagnosable org-specific debugging."
00033855,Fwd: S-Docs License Renewal Due on April 1 - Lord and Richards,S-Docs,0.4929,not_kb_answerable,true,,,,"License transfer between orgs with vendor-side license adjustments is an entitlement/provisioning action, and the referenced error only exists in a screenshot."
00034037,Sorting options inside table,S-Docs,0.3426,retrieval_fn,false,UI Sort Persistence in Generated Tables,,,"Customer wants the generated table to mirror the UI sort order of the related list; the case-mined doc 'UI Sort Persistence in Generated Tables' (sort order persistence, related list query) targets exactly this, yet retrieval scored it 0.34."
00034055,SF Admin cannot send s-sign agreements,S-Docs,0.3538,retrieval_fn,false,Manage User Access,,,"Single user unable to send S-Sign agreements is the classic missing package-license/permission-set case; 'Manage User Access' (verified body) gives the Manage Licenses + SSign permission-set checklist that answers it, but top score was 0.35."
00033697,URLs link is not working in production,S-Docs,0.2132,not_kb_answerable,false,,,,"Vague 'links not redirecting in production' report with a meeting request and no specifics; requires investigating their org data, not a KB article."
00034169,Creating my first template with HubSpot,S-Docs,0.2959,not_kb_answerable,false,,,,"Customer has already consumed the docs/videos and explicitly asks to schedule hands-on time with a person; the actionable ask is scheduling, not a docable question."
00033799,Notifications on doc completion,S-Docs,0.1987,corpus_gap,false,,hubspot-completion-notifications,A how-to doc for enabling signed/completed document notifications in S-Docs for HubSpot.,"Generalizable setup question, but the only HubSpot doc in corpus covers features/plans, and all notification docs are Salesforce-edition specific."
00034154,Fwd: Sandbox Update Error,S-Docs,0.2341,retrieval_fn,false,Renewing an Expired S-Docs Self-Signed Certificate (SDocsCert),,,"Error 'Failed to establish external session ... with certificate SDocsCert / Unauthorized endpoint' in a sandbox is covered by the SDocsCert doc's verified sandbox notes (sandbox needs its own cert and test.salesforce.com endpoint vs login.salesforce.com), but retrieval scored 0.23."
00033764,Dev or and Sandbox Licence Key Update,S-Docs,0.2923,not_kb_answerable,false,,,,"Customer cannot access the new license key itself; supplying a renewed key for dev/QA/UAT orgs is a vendor licensing/entitlement action, not something a KB article can resolve."
00033694,Object default external access,S-Docs,0.274,corpus_gap,true,,sdocs-ssign-object-external-access-requirements,A reference doc enumerating which S-Docs/S-Sign objects require Public Read/Write default external access (guest signer requirements) and which can be restricted.,"The security question is generalizable and a sharing-requirements reference doc would resolve it, but no corpus doc covers required org-wide external access defaults; the specific object list is only in a screenshot."
00033887,Customers Receiving Error With Contract Signing,S-Docs;S-Sign,0.4562,not_kb_answerable,true,,,,Signers hit an error that exists only in an attached picture; without the error content the case is undiagnosable from text.
00034183,Issue Generating Order Form for Signature,S-Sign,0.1892,not_kb_answerable,true,,,,Generation stops before the signing page with all evidence in embedded screenshots and no error text; org-specific debugging.
00034164,Salesforce Blob PDF Release Update Question,S-Docs,0.5001,corpus_gap,false,,blob-topdf-release-update-compatibility,A compatibility statement doc on whether the Salesforce 'Use Visualforce PDF Rendering Service with Apex Blob.toPdf()' release update impacts S-Docs/S-Sign and any minimum versions.,"Generalizable product-compatibility question (like the existing Spring 26 font case), but no corpus doc addresses this release update; the ECA/Connected App doc covers a different one."
00033759,Notification Emails not sending,S-Sign,0.6342,corpus_gap,false,,ssign-notification-batchable-too-big,"A known-error doc for 'System.LimitException: Batchable instance is too big: SSign.NotificationEmailSchedulable' from the S-Sign Notifications Job, plus how reminder emails/templates and expiration days are configured.","Full Apex error is in the text and it is a docable known error, but no corpus doc covers the S-Sign notifications job batch-size failure or default reminder-template behavior."
00033830,Error Generating an S-Docs file,S-Docs,0.579,not_kb_answerable,false,,,,"MISSING_ARGUMENT on merged-template generation for exactly one user whose permissions already match working peers requires investigating their org's data/config, not a generic KB article."
00034207,s-doc Job when record is approved,,0.5035,retrieval_fn,false,Run as User Future Method,,,"Customer asks whether an SDJob in a flow can run as another user; the 'Run as User Future Method' doc (verified body) confirms Run as User exists and should be invoked from a flow, answering the core question, but retrieval fed only generic job-setup docs."
00034127,Re: 00034019 | S-docs template editing question- FusionPKG,,0.234,not_kb_answerable,false,,,,The email body is only a Microsoft Teams meeting invitation with no technical question; pure scheduling/junk thread.
00033809,Using URL links in SSign templates,S-Docs;S-Sign,0.6346,retrieval_fn,false,Hyperlinks in the S-Sign signing view,,,"URLs not clickable during the S-Sign signing process is exactly the case-mined doc 'Hyperlinks in the S-Sign signing view', yet the model declined saying no solution addressed URL link behavior."
00033960,Introducing: Monthly Lead-to-Cash Industry Reports for CROs & CFOs,S-Docs,0.1021,not_kb_answerable,false,,,,"Marketing newsletter blast about industry reports, not a support request; junk thread."
00033996,Error in saandbox when generating Document,S-Docs;S-Sign,0.5106,not_kb_answerable,true,,,,"Generic 'An error occurred' with the detail only in a screenshot; customer granted support login access to their sandbox for org-specific licensing/permissions debugging, which no general doc can resolve."
00034250,resolved,S-Docs,0.1307,not_kb_answerable,false,,,,Explicit dummy/untriageable case with no support question.
00034197,Sdocs  Support team,S-Docs,0.103,not_kb_answerable,false,,,,Body is only a Microsoft Teams meeting invitation; junk/scheduling content with no product question.
