title,source_kind,suggested_action,existing_helpsdocs_url,grounded_in,product,solution_type,keywords,created_date,record_external_id,body
Flow error: sObject type 'SDOC__SDTemplate__c' not supported,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/installation/permission-sets/,"web-research seed 2026-07-16 (medium confidence); sources: https://unofficialsf.com/pauple_helpie/flow-and-security/, https://kb.sdocs.com/knowledge-base/sdocs/installation/permission-sets/",S-Docs,procedure,sObject type 'SDOC__SDTemplate__c' is not supported flow Get Records S-Docs template object access permission set SDocs User license user mode INVALID_TYPE,2026-07-16,case-mined:seed:sdtemplate-not-supported,"Problem
A Salesforce Flow that creates S-Docs jobs or reads S-Docs templates fails at runtime with an error containing: sObject type 'SDOC__SDTemplate__c' is not supported.

Cause
Flows access data in user mode. The ""sObject type '<object>' is not supported."" error occurs when a Flow attempts to retrieve a record and the profile of the running user does not have access to that record's object type. Here the running user (often an automation, integration, or Email-to-Case user rather than the flow author) lacks object access to the S-Docs template object SDOC__SDTemplate__c, typically because they have not been assigned an S-Docs license and/or an S-Docs permission set.

Resolution
1. Identify the user the flow actually runs as (for record-triggered or automated flows this is the user whose action triggered it, not the admin who built it).
2. Assign that user an S-Docs license: Setup > Installed Packages > locate the S-Docs package > Manage Licenses > Add Users > select the user > Add. Note: license seats do not need to be assigned for Site Licenses or sandboxes.
3. Assign an S-Docs permission set to the user: ""SDocs User"" (grants internal users access to generate documents and insert S-Docs Jobs) or ""SDocs Administrator"" (grants SDoc access including template editor and SDocs Setup).
4. Verify the user now has read access to the SDoc Template object (SDOC__SDTemplate__c) and re-run the flow."
S-Docs install/upgrade fails with ContentDistribution error,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/installation/content-delivery-requirements-for-the-fall-2024-release-and-on/,web-research seed 2026-07-16 (high confidence); sources: https://kb.sdocs.com/knowledge-base/sdocs/installation/content-delivery-requirements-for-the-fall-2024-release-and-on/,S-Docs,procedure,"Invalid type: ContentDistribution Invalid initializer type List<ContentDistribution> found for Map<Id,SObject> S-Docs install upgrade fail Content Deliveries Public Links Fall 24 8.0",2026-07-16,case-mined:seed:contentdistribution-invalid-type,"Problem
Installing or upgrading the S-Docs package (Fall '24 / 8.0 release and later) fails with an error referencing the ContentDistribution object, such as: ""Invalid initializer type List<ContentDistribution> found for Map<Id, SObject>"" (also reported as ""Invalid type: ContentDistribution"").

Cause
The S-Docs Fall '24 release and all subsequent versions depend on the Salesforce ContentDistribution object, which only exists when the org's Content Deliveries and Public Links feature is enabled. If that feature is disabled, the package cannot be installed or upgraded and the install fails with an error referencing ContentDistribution.

Resolution
1. In Salesforce Setup, enable the Content Deliveries and Public Links feature (see Salesforce Help: Set Up Content Deliveries).
2. Retry the S-Docs install or upgrade - once the feature is enabled, installation/upgrade should complete without the error.
3. If the feature is already enabled and the error persists, contact support@sdocs.com."
"Upgrading S-Docs/S-Sign across versions: path, links, and prerequisites",web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/installation/release-best-practices-how-to-install-s-docs-upgrades-seamlessly/,"web-research seed 2026-07-16 (medium confidence); sources: https://kb.sdocs.com/knowledge-base/sdocs/installation/release-best-practices-how-to-install-s-docs-upgrades-seamlessly/, https://kb.sdocs.com/knowledge-base/sdocs/installation/download-sdocs-upgrades/",,procedure,S-Docs upgrade path skip versions intermediate version patch upgrade AppExchange Get It Now Try It cannot roll back downgrade do not uninstall release notes latest version upgrade links,2026-07-16,case-mined:seed:skip-version-upgrade,"Problem
You are on an older S-Docs/S-Sign version (possibly several major releases behind) and need to upgrade: are intermediate versions required, and where do you get upgrade links?

Cause
S-Docs upgrades install the latest version directly from the Salesforce AppExchange over the existing package; there is no general requirement to step through every intermediate major version. However, specific releases have documented patch prerequisites - e.g., before upgrading to the February '24 S-Sign release, a patch upgrade is required when transitioning from the September/October/November '23 versions (patch package links are published in the release notes).

Resolution
1. Download the latest version from the Salesforce AppExchange S-Docs listing - click ""Get It Now"" for production or ""Try It"" for a sandbox.
2. Before upgrading, check the S-Docs release notes (sdocs.com/resources/release-notes) for version-specific prerequisites; some releases require installing a patch first when coming from specific prior versions.
3. Strongly recommended: test the new version in a sandbox before upgrading production.
4. Do NOT uninstall your current version - install the new version over it; all templates and documents generated with previous versions remain after upgrade.
5. Be aware that after you upgrade, you cannot roll back or downgrade to the previously installed version in any type of org.
6. For upgrade questions or help identifying the right path from your current version, contact your Customer Success Manager or S-Docs support."
Salesforce External Client Apps change and the S-Sign Connected App,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/ssign/install-configure-ssign/create-an-s-docs-connected-app-for-s-sign/,"web-research seed 2026-07-16 (medium confidence); sources: https://kb.sdocs.com/knowledge-base/ssign/install-configure-ssign/create-an-s-docs-connected-app-for-s-sign/, https://help.salesforce.com/s/articleView?language=en_US&id=xcloud.connected_app_to_external_client_app_migration.htm&type=5",,explainer,External Client Apps ECA Connected App migration Spring 26 Sdocs Connected Apps Sdocs_Connected_Apps SDocsCert Migrate to External Client App consumer key preserved S-Sign OAuth connected app creation disabled,2026-07-16,case-mined:seed:external-client-apps-migration,"Problem
What must be done about Salesforce's transition from Connected Apps to External Client Apps (ECAs), given that S-Sign relies on a Connected App (""Sdocs Connected Apps"") in the org?

Cause
External Client Apps are Salesforce's next generation of connected apps; starting with Spring '26, creation of NEW Connected Apps is disabled by default, while existing Connected Apps keep working. The S-Sign Connected App (API name ""Sdocs_Connected_Apps"", with the SDocsCert certificate) is created locally by the customer's admin in their own org - it is not delivered inside the managed package.

Resolution
1. No immediate breakage: existing Connected Apps, including an already-configured ""Sdocs Connected Apps"", continue to work - Salesforce states existing Connected Apps remain supported.
2. If you choose to migrate: because the S-Sign Connected App is a local (customer-created) connected app, it is eligible for Salesforce's automated migration - in App Manager, use ""Migrate to External Client App""; migration preserves the consumer key and secret, so existing integrations continue to work without updating credentials.
3. After migrating, do NOT delete the original connected app - Salesforce saves the original as a read-only version and both apps share the same consumer.
4. Note: External Client Apps do not support the Username-Password or User-Agent OAuth flows.
5. Confirm current vendor guidance with S-Docs support before migrating, as the S-Docs Connected App setup article does not yet reference External Client Apps."
Generated PDF looks different from the original Word document,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/creating-templates/import-word-templates-into-s-docs/,"web-research seed 2026-07-16 (medium confidence); sources: https://kb.sdocs.com/knowledge-base/sdocs/creating-templates/import-word-templates-into-s-docs/, https://kb.sdocs.com/knowledge-base/sdocs/understanding-template-formats/s-docs-limitations/",S-Docs,procedure,S-Docs PDF looks different Word DOCX formatting fidelity Paste From Word Times New Roman default font windowtext table columns misaligned PDF 1.4 CSS 2.1 Arial Unicode MS unsupported fonts headers footers checkboxes,2026-07-16,case-mined:seed:docx-pdf-fidelity,"Problem
A PDF generated by S-Docs from a template built from a Microsoft Word document (imported via Paste From Word) looks different from the original Word/DOCX file: fonts change, table columns misalign, colors are lost, and headers/footers, checkboxes, or images are missing or wrong.

Cause
Complex formatting may not carry over perfectly into the S-Docs template editor even with Paste From Word, and the S-Docs PDF rendering engine has documented constraints: it renders PDF version 1.4, PDF templates support CSS 2.1 only, and supported PDF fonts are limited (Arial Unicode MS, sans-serif, serif, Times New Roman, Courier). Fonts carried over from a Word template default to Times New Roman when not PDF-supported; Word ""windowtext"" color references do not work for non-DOC output; table columns can look aligned in the editor but not in the output; bold/italic/underline is not supported in PDFs using Unicode fonts.

Resolution
1. Change any template fonts that are not PDF-supported to a supported font (Arial Unicode MS, sans-serif, serif, Times New Roman, Courier) - otherwise they default to Times New Roman at generation.
2. Remove or replace ""windowtext"" color references carried over from Word; they do not work for PDF output.
3. Verify and fix table column alignment in the template editor - alignment in the editor does not guarantee alignment in the output document.
4. After pasting from Word, manually re-add headers and footers (copy them separately into the S-Docs header/footer tabs), replace Word checkboxes with S-Docs methods, and replace images with S-Docs image code.
5. If using Unicode fonts, avoid relying on bold/italic/underline in PDF output.
6. If you need a true native Word file as output, use a DOCX template (generates DOCX); for data-driven PDF output, build the template in the S-Docs template editor rather than expecting a 1:1 conversion of the Word file."
Inserting JPG/JPEG and other images into S-Docs PDF templates,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/images/embed-static-images/,"web-research seed 2026-07-16 (high confidence); sources: https://kb.sdocs.com/knowledge-base/sdocs/images/add-dynamic-images/, https://kb.sdocs.com/knowledge-base/sdocs/images/pull-image-attachments-and-generate-pdfs/, https://kb.sdocs.com/knowledge-base/sdocs/images/embed-static-images/",S-Docs,procedure,sdocs image jpg jpeg png insert pdf template add image button rich text field contains rich text remote site setting attachment lineitemsSOQL broken image rendering,2026-07-16,case-mined:seed:jpg-in-pdf-rendering,"Problem
Does S-Docs support JPG/JPEG images in PDF templates, and how do you embed images so they render correctly in the generated PDF?

Resolution
Yes - S-Docs supports images (including JPEG) in PDF templates via several documented methods.
1. Static image: click the Add Image button on the template editor toolbar, then either click Browse Server to pick an image from your Salesforce Documents folder or paste the image URL into the Image Properties window. Static resources can be referenced with <img src=""/resource/STATIC_RESOURCE_API_NAME/PATH_TO_IMAGE"" />.
2. Dynamic image from a rich text field: upload the image to a Salesforce rich text field on the record, then in the template editor click Insert Field, select the field, check the 'Contains Rich Text' checkbox, and click Insert (the merge field renders with triple braces, e.g. {{{!Product2.ProductImage__c}}}).
3. Image attachments on the record: use a lineitemsSOQL block that selects Attachment records (e.g. filtering ContentType LIKE '%jpeg') and renders each as <img src='/servlet/servlet.FileDownload?file=...' /> - this merges IMAGES only; it cannot merge PDF files into your S-Docs PDF.
4. Important: if the image is hosted outside Salesforce, you must create a Remote Site Setting for the image URL's domain, or the generated PDF will show a broken image icon."
Reporting S-Docs document-generation usage per user,web-researched-seed,update existing page,https://kb.sdocs.com/faq/,"web-research seed 2026-07-16 (medium confidence); sources: https://kb.sdocs.com/faq/, https://kb.sdocs.com/knowledge-base/sdocs/generate-documents-automatically/s-docs-jobs/",S-Docs,procedure,sdocs usage report per user count documents generated SDOC__SDoc__c sdoc object created by salesforce report metrics sdjob envelopes used how many,2026-07-16,case-mined:seed:per-user-usage-reporting,"Problem
How can you report on S-Docs usage - who generated how many documents, and when?

Resolution
S-Docs is 100% native to Salesforce and every generated document is stored as a record in your org (the S-Doc object, SDOC__SDoc__c); generated documents also appear in an S-Docs related list on the base record. Because generated documents are ordinary Salesforce records, per-user usage reporting is done with standard Salesforce reporting:
1. Build a report (or custom report type) on the S-Doc object.
2. Group by Created By and Created Date to count documents generated per user over a period.
3. When S-Docs saves output as a Salesforce Attachment or File, it populates the ContentVersion Description field with the ID of the corresponding S-Doc record, which lets you reconcile Files against S-Doc records.
4. For automated generation, S-Doc Job records (SDOC__SDJob__c) hold execution details that can also be reported on."
Customizing the S-Sign email sent to the next signer in a sequence,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/ssign/create-and-manage-ssign-templates/using-custom-s-sign-email-notification-templates/,"web-research seed 2026-07-16 (high confidence); sources: https://kb.sdocs.com/knowledge-base/ssign/create-and-manage-ssign-templates/using-custom-s-sign-email-notification-templates/, https://kb.sdocs.com/knowledge-base/ssign/create-and-manage-ssign-templates/s-sign-signer-profiles/",S-Sign,procedure,s-sign custom email notification template next signer multi-signer sequence partial confirmation SIGN_LINK NUM_SIGNERS_REMAINING notification settings signer profiles signing order,2026-07-16,case-mined:seed:next-signer-email-template,"Problem
In a multi-signer S-Sign sequence, how do you customize the email/notification template that goes to the next signer (and the partial-confirmation email sent while signers remain)?

Resolution
S-Sign lets you replace its automatic emails with custom S-Docs HTML email templates.
1. Permissions: in Salesforce Setup, open the S-Sign Internal User's profile and under Custom Object Permissions ensure 'Modify All' is enabled for S-Docs, S-Docs Fields, and S-Docs Relationships.
2. Create the custom email as a new S-Docs template: set Related To Type to the same base object as your S-Sign PDF template and set the template format to HTML.
3. Use S-Sign email merge fields in the body, including [[SIGNER_NAME]], [[SIGNER_EMAIL]], [[SIGNER_NUMBER]], [[NUM_SIGNERS_REMAINING]] (useful for partial confirmations), [[SIGN_LINK]] (the link the recipient clicks to sign, e.g. <a href=""[[SIGN_LINK]]"" target=""_blank"">Click Here to Sign</a>), [[DOCUMENT_NAME]], and [[CREATED_DATE]].
4. Assign it: open your S-Sign-enabled PDF template, go to the S-Sign panel (under the S-Sign Template Settings tab), open S-Sign Notification Settings, and paste the custom HTML template's ID into the relevant field. The 'Partial Confirmation' email is sent to a signer after they submit while additional signers still need to sign; you can also specify a custom template ID for the e-signature request email used when 'Enable Send Email After First Signer' or 'Enable Send Email After Specified Signer Signs' is enabled - this customizes the request that reaches the next signer.
5. Signer order itself is set per signer profile in the S-Sign Signer Profiles menu."
Positioning and aligning a logo in an S-Docs template header,web-researched-seed,update existing page,https://kb.sdocs.com/knowledge-base/sdocs/creating-templates/overview-the-s-docs-template-editor/,"web-research seed 2026-07-16 (medium confidence); sources: https://kb.sdocs.com/knowledge-base/sdocs/creating-templates/overview-the-s-docs-template-editor/, https://kb.sdocs.com/knowledge-base/sdocs/images/embed-static-images/",S-Docs,procedure,sdocs logo header image alignment position template editor add image browse server use first page header for all pages remote site setting align center placement,2026-07-16,case-mined:seed:logo-positioning,"Problem
How do you place a logo image in an S-Docs template header and control its alignment and position?

Resolution
1. Open the template in the S-Docs template editor and go to the Header tab (Header and Footer work identically). Each has two sections - 'Header on First Page' and 'Header on Remaining Pages' - each with the same WYSIWYG editor as the Template Body tab.
2. To show the same header on every page, design it in 'Header on First Page' and check 'Use First Page Header/Footer for All Pages'; uncheck it to use a different first-page header.
3. Insert the logo with the Add Image button on the toolbar: click Browse Server to select an image from your Salesforce Documents folder, or paste an image URL into the Image Properties window. Static resources can be referenced with <img src=""/resource/STATIC_RESOURCE_API_NAME/PATH_TO_IMAGE"" />.
4. Use the toolbar alignment tools (left/center/right) to align the logo; toolbar edits update the underlying HTML, so you can also fine-tune the <img> markup in the source editor.
5. If the logo is hosted outside Salesforce, create a Remote Site Setting for its domain or the generated PDF shows a broken image icon.
6. For DOC-format templates, size images with a style attribute (<img src=""..."" style=""height:...px; width:...px;"" />) rather than height/width attributes."
UI Sort Persistence in Generated Tables,production-mined,author new page,,"00026461, 00026028",S-Docs,procedure,sdocs s-sign sort order persistence related list query,2026-07-16,case-mined:seed:ui-sort-persistence-tables,"Problem
Generated documents do not reflect the sort order of related lists without manual intervention.

Cause
The list sorting on the record only affects the list view and does not automatically sync to the generated document.

Resolution
1. Update the query in your S-Docs template to include an clause that specifies the desired sort column, such as Total price."
